2025-07-22 15:42:59,835 - DEBUG - in-event <InotifyEvent: src_path=b'/home/youmi/user/unfinished_projects/email_assistant_crm/app/logs/ai_services_log.txt', wd=3, mask=IN_MODIFY, cookie=0, name='ai_services_log.txt'>
2025-07-22 15:42:59,835 - DEBUG - in-event <InotifyEvent: src_path=b'/home/youmi/user/unfinished_projects/email_assistant_crm/app/logs/ai_services_log.txt', wd=3, mask=IN_CLOSE_WRITE, cookie=0, name='ai_services_log.txt'>
2025-07-22 15:42:59,835 - DEBUG - in-event <InotifyEvent: src_path=b'/home/youmi/user/unfinished_projects/email_assistant_crm/app/logs/ai_services_log.txt.3', wd=3, mask=IN_DELETE, cookie=0, name='ai_services_log.txt.3'>
2025-07-22 15:42:59,836 - DEBUG - in-event <InotifyEvent: src_path=b'/home/youmi/user/unfinished_projects/email_assistant_crm/app/logs/ai_services_log.txt.2', wd=3, mask=IN_MOVED_FROM, cookie=9551, name='ai_services_log.txt.2'>
2025-07-22 15:42:59,836 - DEBUG - in-event <InotifyEvent: src_path=b'/home/youmi/user/unfinished_projects/email_assistant_crm/app/logs/ai_services_log.txt.3', wd=3, mask=IN_MOVED_TO, cookie=9551, name='ai_services_log.txt.3'>
2025-07-22 15:42:59,836 - DEBUG - in-event <InotifyEvent: src_path=b'/home/youmi/user/unfinished_projects/email_assistant_crm/app/logs/ai_services_log.txt.1', wd=3, mask=IN_MOVED_FROM, cookie=9552, name='ai_services_log.txt.1'>
2025-07-22 15:42:59,836 - DEBUG - in-event <InotifyEvent: src_path=b'/home/youmi/user/unfinished_projects/email_assistant_crm/app/logs/ai_services_log.txt.2', wd=3, mask=IN_MOVED_TO, cookie=9552, name='ai_services_log.txt.2'>
2025-07-22 15:42:59,836 - DEBUG - in-event <InotifyEvent: src_path=b'/home/youmi/user/unfinished_projects/email_assistant_crm/app/logs/ai_services_log.txt', wd=3, mask=IN_MOVED_FROM, cookie=9553, name='ai_services_log.txt'>
2025-07-22 15:42:59,836 - DEBUG - in-event <InotifyEvent: src_path=b'/home/youmi/user/unfinished_projects/email_assistant_crm/app/logs/ai_services_log.txt.1', wd=3, mask=IN_MOVED_TO, cookie=9553, name='ai_services_log.txt.1'>
2025-07-22 15:42:59,836 - DEBUG - in-event <InotifyEvent: src_path=b'/home/youmi/user/unfinished_projects/email_assistant_crm/app/logs/ai_services_log.txt', wd=3, mask=IN_CREATE, cookie=0, name='ai_services_log.txt'>
2025-07-22 15:42:59,836 - DEBUG - in-event <InotifyEvent: src_path=b'/home/youmi/user/unfinished_projects/email_assistant_crm/app/logs/ai_services_log.txt', wd=3, mask=IN_OPEN, cookie=0, name='ai_services_log.txt'>
